DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2013,90.65,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2014,96.47,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2015,100.00,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2016,105.40,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2017,114.80,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2018,123.18,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2019,131.61,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2020,141.18,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LT,2021,163.84,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2010,80.14,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2011,83.09,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2012,86.58,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2013,90.89,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2014,94.88,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2015,100.00,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2016,106.01,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2017,111.96,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2018,119.86,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2019,131.99,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2020,151.12,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,LU,2021,172.15,
